date,draw_id,model,log_gain,w_uniform,w_sparse_single_ball,w_spike_slab
2000-03-01,SYN-0061,uniform,-3.552713678800501e-15,0.5,0.25,0.25
2000-03-01,SYN-0061,sparse_single_ball,0.011042528314685995,0.5,0.25,0.25
2000-03-01,SYN-0061,spike_slab,0.018825803445423617,0.5,0.25,0.25
2000-03-01,SYN-0061,online_mixture,0.007498775824473114,0.5,0.25,0.25
2000-03-02,SYN-0062,uniform,-3.552713678800501e-15,0.49907583242409037,0.2502208392240576,0.25070332835185194
2000-03-02,SYN-0062,sparse_single_ball,-0.013863623925935542,0.49907583242409037,0.2502208392240576,0.25070332835185194
2000-03-02,SYN-0062,spike_slab,-0.023758774129230886,0.49907583242409037,0.2502208392240576,0.25070332835185194
2000-03-02,SYN-0062,online_mixture,-0.009375043219925772,0.49907583242409037,0.2502208392240576,0.25070332835185194
2000-03-03,SYN-0063,uniform,-3.552713678800501e-15,0.5002491215158766,0.24994314479345395,0.2498077336906694
2000-03-03,SYN-0063,sparse_single_ball,0.015283436131312556,0.5002491215158766,0.24994314479345395,0.2498077336906694
2000-03-03,SYN-0063,spike_slab,0.02594211172675287,0.5002491215158766,0.24994314479345395,0.2498077336906694
2000-03-03,SYN-0063,online_mixture,0.010360802914171074,0.5002491215158766,0.24994314479345395,0.2498077336906694
2000-03-04,SYN-0064,uniform,-3.552713678800501e-15,0.49897108609455315,0.25025122015308726,0.2507776937523595
2000-03-04,SYN-0064,sparse_single_ball,0.00523964212339223,0.49897108609455315,0.25025122015308726,0.2507776937523595
2000-03-04,SYN-0064,spike_slab,0.00885984072843371,0.49897108609455315,0.25025122015308726,0.2507776937523595
2000-03-04,SYN-0064,online_mixture,0.003540116585995179,0.49897108609455315,0.25025122015308726,0.2507776937523595
2000-03-05,SYN-0065,uniform,-3.552713678800501e-15,0.49854503220607194,0.2503543213002414,0.2511006464936867
2000-03-05,SYN-0065,sparse_single_ball,-0.0033435290484291613,0.49854503220607194,0.2503543213002414,0.2511006464936867
2000-03-05,SYN-0065,spike_slab,-0.006158210077185089,0.49854503220607194,0.2503543213002414,0.2511006464936867
2000-03-05,SYN-0065,online_mixture,-0.002380078241806416,0.49854503220607194,0.2503543213002414,0.2511006464936867
2000-03-06,SYN-0066,uniform,-3.552713678800501e-15,0.4988536542047831,0.2502912414690881,0.25085510432612873
2000-03-06,SYN-0066,sparse_single_ball,0.018321876094887557,0.4988536542047831,0.2502912414690881,0.25085510432612873
2000-03-06,SYN-0066,spike_slab,0.031499737097632874,0.4988536542047831,0.2502912414690881,0.25085510432612873
2000-03-06,SYN-0066,online_mixture,0.012576299276791048,0.4988536542047831,0.2502912414690881,0.25085510432612873
2000-03-07,SYN-0067,uniform,-3.552713678800501e-15,0.49732299112509676,0.25064863151076117,0.2520283773641421
2000-03-07,SYN-0067,sparse_single_ball,0.013948981706235486,0.49732299112509676,0.25064863151076117,0.2520283773641421
2000-03-07,SYN-0067,spike_slab,0.024326121861715677,0.49732299112509676,0.25064863151076117,0.2520283773641421
2000-03-07,SYN-0067,online_mixture,0.009679842179128428,0.49732299112509676,0.25064863151076117,0.2520283773641421
2000-03-08,SYN-0068,uniform,-3.552713678800501e-15,0.4961645872167884,0.2509095791224674,0.25292583366074417
2000-03-08,SYN-0068,sparse_single_ball,-0.005683858481919657,0.4961645872167884,0.2509095791224674,0.25292583366074417
2000-03-08,SYN-0068,spike_slab,-0.010717083030350238,0.4961645872167884,0.2509095791224674,0.25292583366074417
2000-03-08,SYN-0068,online_mixture,-0.004126746452637775,0.4961645872167884,0.2509095791224674,0.25292583366074417
